,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
IDNEST2, , , ,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → lpar APARAMS rpar F7, ,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8, , , , , , , , , , , , , , ,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8, ,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8, ,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8,IDNEST2 → AA REPTIDNEST1 I2 F8, , , , , , , ,IDNEST2 → AA REPTIDNEST1 I2 F8
IDNEST3, , , , , , ,IDNEST3 → dot D1 id I1 IDNEST2 D2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FPARAMS, , , ,FPARAMS → AA F12, ,FPARAMS → AA id I1 colon TYPE AA REPTFPARAMS3 A3 F11 REPTFPARAMS4 F12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FPARAMSTAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FPARAMSTAIL → comma id I1 colon TYPE AA REPTFPARAMSTAIL4 A3 F11, , , , , , , , , , , , , , , , , , , , 
FUNCBODY, , , , , , , , , , , , , ,FUNCBODY → lcurbr AA REPTFUNCBODY1 B1 rcurbr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FUNCDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDECL → FUNCHEAD F10 semi, , , , , 
FUNCDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDEF → FUNCHEAD FUNCBODY F13, , , , , 
FUNCHEAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCHEAD → func id I1 lpar FPARAMS rpar arrow RETURNTYPE, , , , , 
IMPLDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,IMPLDEF → impl id I1 lcurbr AA REPTIMPLDEF3 I3 rcurbr, , , , , , , 
INDICE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,INDICE → lsqbr ARITHEXPR rsqbr, , , , , , , , 
MEMBERDECL, , , , , , , , , ,MEMBERDECL → VARDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MEMBERDECL → FUNCDECL, , , , , 
MULTOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MULTOP → and M1,MULTOP → div M1,MULTOP → mult M1, , , , , , , , , , 
OPTSTRUCTDECL2, , , , , , , , , , , , , ,OPTSTRUCTDECL2 → &epsilon, , , , , , , , , , , , , , , , , , ,OPTSTRUCTDECL2 → inherits id I1 REPTOPTSTRUCTDECL22, , , , , , , , , , , , , 
PROG, , , , , , , , , , , , , , ,PROG → AA REPTPROG0 ZZ, , , , , , , , , , , , , , , , , , , , , , , ,PROG → AA REPTPROG0 ZZ, ,PROG → AA REPTPROG0 ZZ, , , , , 
