,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
FUNCBODY, , , , , , , , , , , , , ,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FUNCDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDECL → FUNCHEAD semi, , , , , 
FUNCDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDEF → FUNCHEAD FUNCBODY, , , , , 
FUNCHEAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCHEAD → func id lpar FPARAMS rpar arrow RETURNTYPE, , , , , 
IMPLDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,IMPLDEF → impl id lcurbr REPTIMPLDEF3 rcurbr, , , , , , , 
INDICE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,INDICE → lsqbr ARITHEXPR rsqbr, , , , , , , , 
MEMBERDECL, , , , , , , , , ,MEMBERDECL → VARDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MEMBERDECL → FUNCDECL, , , , , 
MULTOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MULTOP → and,MULTOP → div,MULTOP → mult, , , , , , , , , , 
OPTSTRUCTDECL2, , , , , , , , , , , , , ,OPTSTRUCTDECL2 → &epsilon, , , , , , , , , , , , , , , , , , ,OPTSTRUCTDECL2 → inherits id REPTOPTSTRUCTDECL22, , , , , , , , , , , , , 
PROG, , , , , , , , , , , , , , ,PROG → REPTPROG0, , , , , , , , , , , , , , , , , , , , , , , ,PROG → REPTPROG0, ,PROG → REPTPROG0, , , , , 
RELEXPR, , , , ,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR, , , , , , , , , , , , , , , , ,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR, , , , , , , , , , , , , , , , , ,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR, , 
